file;size;nnodes;time
bird.png;256x256;5082;314
boat.png;512x512;38628;1039
mountain.png;640x480;46405;1105
goldhill.png;512x512;43000;927
house.png;256x256;9851;232
mandrill.png;512x512;60239;922
zelda.png;512x512;24674;903
naturel.png;1600x1200;129684;6472
camera.png;256x256;10885;221
piscine.png;3072x2304;1034825;27212
sat.png;1297x1381;249604;6233
lena.png;512x512;31643;994
washsat.png;512x512;17186;823
frog.png;621x498;30237;1006
barb.png;512x512;40496;909
bridge.png;256x256;14330;231
peppers.png;512x512;34122;910
